"","cod_mun","populacao","faixa_pop","pib_per_cap","Num_sc","Num_pl","Num_chl","Num_consor","Num_fu","ser_perc","nota_transp_2016","leg.dummie_2012","idhm_quintil","idhm_2013"
"1168","2509057",8241,"2 - 5001 até 10000",8244.76,2,2,3,0,3,14.6,8.1,0,"primeiro",0.529
"1169","2509107",21703,"4 - 20001 até 50000",6935.35,2,2,3,0,3,12.9,6.6,0,"primeiro",0.548
"1170","2509156",6473,"2 - 5001 até 10000",6571.92,3,2,3,0,3,22.5,3.2,1,"segundo",0.608
"1171","2509206",13548,"3 - 10001 até 20000",6811.72,3,2,3,0,3,29.9,5.1,0,"primeiro",0.567
"1172","2509305",8088,"2 - 5001 até 10000",23599.75,3,2,3,0,3,0,7.8,0,"primeiro",0.536
"1173","2509339",4475,"1 - Até 5000",9293.05,2,2,3,1,3,10.8,7.3,1,"primeiro",0.541
"1174","2509370",2845,"1 - Até 5000",6965.15,2,3,3,0,3,18.5,3.4,1,"primeiro",0.565
"1175","2509396",6363,"2 - 5001 até 10000",6675.46,3,3,3,0,3,20.3,5.4,1,"primeiro",0.572
"1176","2509404",13333,"3 - 10001 até 20000",7460.81,2,2,2,0,3,25.2,1.1,1,"primeiro",0.574
"1177","2509503",5441,"2 - 5001 até 10000",7653.69,3,2,3,0,3,15.2,2.9,0,"primeiro",0.59
"1178","2509602",4724,"1 - Até 5000",6742.37,3,2,2,0,3,17.2,6.4,1,"primeiro",0.587
"1179","2509701",32498,"4 - 20001 até 50000",10574.61,3,2,3,1,3,29.2,5.6,1,"segundo",0.628
"1180","2509800",9796,"2 - 5001 até 10000",6478.84,2,2,3,0,3,16.6,7.7,1,"primeiro",0.565
"1181","2509909",10445,"3 - 10001 até 20000",6494.67,2,2,2,0,3,20.2,6.8,1,"primeiro",0.541
"1182","2510006",7330,"2 - 5001 até 10000",6529.42,2,2,3,0,3,29.1,5.6,1,"primeiro",0.562
"1183","2510105",10655,"3 - 10001 até 20000",6567,3,2,3,1,3,0,9.8,1,"segundo",0.601
"1184","2510204",6028,"2 - 5001 até 10000",6365.69,3,3,3,0,3,28.4,3.3,1,"primeiro",0.573
"1185","2510303",4717,"1 - Até 5000",6817.3,3,2,3,1,3,19,5.6,0,"segundo",0.595
"1186","2510402",6716,"2 - 5001 até 10000",6355.13,3,3,3,1,3,18,6.9,1,"primeiro",0.572
"1187","2510501",3843,"1 - Até 5000",6840.28,3,2,3,0,3,5.5,5.1,1,"segundo",0.603
"1188","2510600",3013,"1 - Até 5000",8011.92,3,3,3,1,3,2.7,5.4,0,"segundo",0.614
"1189","2510659",1809,"1 - Até 5000",8386.61,2,1,3,1,3,15.2,4.3,0,"primeiro",0.584
"1190","2510808",105531,"6 - 100001 até 500000",12673.97,3,3,3,0,3,35.2,8.5,1,"quarto",0.701
"1191","2510907",12167,"3 - 10001 até 20000",7468.85,3,2,3,0,3,28,5.8,1,"primeiro",0.587
"1192","2511004",3791,"1 - Até 5000",7434.51,1,2,3,0,3,13.9,3.8,1,"segundo",0.599
"1193","2511103",7907,"2 - 5001 até 10000",7882.96,2,2,3,1,3,21.3,8.6,1,"primeiro",0.574
"1194","2511202",28174,"4 - 20001 até 50000",15766.36,2,2,3,0,3,0,6.8,0,"primeiro",0.59
"1195","2511301",15929,"3 - 10001 até 20000",9654.81,1,2,3,0,3,21.1,2.7,0,"segundo",0.621
"1196","2511509",11705,"3 - 10001 até 20000",6288.19,2,2,3,0,3,21,7.6,1,"primeiro",0.579
"1197","2511608",6793,"2 - 5001 até 10000",7616.92,3,2,3,0,3,25.1,7.6,1,"primeiro",0.56
"1198","2511707",5138,"2 - 5001 até 10000",6683.58,2,3,3,0,3,23.3,0,0,"primeiro",0.564
"1199","2511806",10540,"3 - 10001 até 20000",6432.91,3,2,3,0,3,30.6,10,0,"segundo",0.595
"1200","2511905",18422,"3 - 10001 até 20000",7448.89,1,2,3,0,3,2.9,5.8,0,"primeiro",0.57
"1201","2512002",18087,"3 - 10001 até 20000",10149.28,3,1,3,0,3,19,7,0,"primeiro",0.591
"1202","2512036",3783,"1 - Até 5000",6716.34,2,2,3,0,3,7,6.2,1,"primeiro",0.525
"1203","2512077",4206,"1 - Até 5000",7717.41,3,3,3,0,3,26.2,5.6,1,"segundo",0.612
"1204","2512101",32684,"4 - 20001 até 50000",9432.8,1,2,3,0,3,7.6,5.1,1,"segundo",0.634
"1205","2512200",4072,"1 - Até 5000",8210.18,2,2,3,1,3,25.1,4,0,"segundo",0.608
"1206","2512309",22734,"4 - 20001 até 50000",7627.18,3,3,3,1,3,16.2,6.3,1,"segundo",0.606
"1207","2512408",13473,"3 - 10001 até 20000",6144.37,3,2,3,0,2,25.9,6,0,"segundo",0.617
"1208","2512507",42884,"4 - 20001 até 50000",9054.12,2,3,3,1,3,0,5.9,0,"segundo",0.608
"1209","2512606",1868,"1 - Até 5000",8618.94,3,2,3,0,3,17.9,6.4,1,"segundo",0.622
"1210","2512705",18922,"3 - 10001 até 20000",7303.56,3,2,3,1,3,4.5,7.2,1,"segundo",0.607
"1211","2512721",5999,"2 - 5001 até 10000",6514.98,1,2,3,0,2,41,8.2,1,"primeiro",0.542
"1212","2512747",3490,"1 - Até 5000",6928.01,3,3,3,0,3,12.9,9,1,"primeiro",0.574
"1213","2512754",4448,"1 - Até 5000",7525.05,3,2,3,0,3,12.2,3.7,1,"primeiro",0.553
"1214","2512762",4401,"1 - Até 5000",7734.74,3,2,3,0,3,20.5,6.4,1,"primeiro",0.555
